date,matchup,home_team,is_dome,temp_f,wind_mph,wind_dir,wind_score,humidity,pressure_hpa,park_factor,current_pct,physics_pct,park_pct,hrs_hit,total_batters,hr_rate
2026-04-06,DET@MIN,MIN,False,35.8,14.0,344,-5.2,34,999.6,100.0,-13.92,1.66,0.0,1,26,0.038461538461538464
2026-04-06,BAL@CWS,CWS,False,45.4,8.1,332,-1.7,59,1002.6,96.0,-5.88,-12.12,-4.0,1,26,0.038461538461538464
2026-04-06,SEA@TEX,TEX,False,70.3,7.9,83,-1.0,26,1001.0,91.0,-1.2,0.94,-9.0,1,26,0.038461538461538464
2026-04-06,HOU@COL,COL,False,68.6,8.9,78,-8.8,13,841.7,115.0,-10.56,62.64,15.0,2,22,0.09090909090909091
2026-04-06,ATL@LAA,LAA,False,71.0,7.6,236,7.4,37,1009.2,111.0,8.88,25.96,11.0,4,26,0.15384615384615385
2026-04-06,PHI@SF,SF,False,55.5,14.4,289,10.4,86,1017.2,75.0,13.78,30.95,-25.0,0,26,0.0
2026-04-07,KC@CLE,CLE,False,32.0,7.8,347,-7.6,54,1008.2,96.0,-18.32,-29.22,-4.0,1,18,0.05555555555555555
2026-04-07,BAL@CWS,CWS,False,34.4,8.6,41,0.6,69,1010.9,96.0,-7.07,-30.89,-4.0,1,18,0.05555555555555555
2026-04-07,AZ@NYM,NYM,False,51.6,19.6,301,-0.3,24,1022.4,105.0,-1.72,-10.28,5.0,0,18,0.0
2026-04-07,SD@PIT,PIT,False,42.3,8.9,328,7.9,36,1002.0,66.0,4.4,12.81,-34.0,1,18,0.05555555555555555
2026-04-07,CHC@TB,TB,True,67.3,17.5,32,0.0,83,1012.1,95.0,0.0,0.0,-5.0,2,18,0.1111111111111111
2026-04-07,CIN@MIA,MIA,False,72.1,3.7,343,0.0,93,1010.5,91.0,1.68,4.91,-9.0,0,18,0.0
2026-04-07,STL@WSH,WSH,False,55.5,11.5,316,-3.2,19,1026.6,91.0,-3.84,-14.4,-9.0,3,18,0.16666666666666666
2026-04-07,MIL@BOS,BOS,False,,,,0.0,,,87.0,0.0,0.0,-13.0,0,18,0.0
2026-04-07,ATH@NYY,NYY,False,,,,0.0,,,117.0,0.0,0.0,17.0,1,18,0.05555555555555555
2026-04-07,LAD@TOR,TOR,True,,,,0.0,,,109.0,0.0,0.0,9.0,0,18,0.0
2026-04-07,DET@MIN,MIN,False,,,,0.0,,,100.0,0.0,0.0,0.0,0,18,0.0
2026-04-07,SEA@TEX,TEX,False,,,,0.0,,,91.0,0.0,0.0,-9.0,2,18,0.1111111111111111
2026-04-07,HOU@COL,COL,False,71.1,5.4,318,-4.0,14,837.8,115.0,-4.8,61.55,15.0,3,18,0.16666666666666666
2026-04-07,ATL@LAA,LAA,False,70.8,7.4,235,7.3,59,1006.0,111.0,8.76,26.8,11.0,2,18,0.1111111111111111
2026-04-07,PHI@SF,SF,False,,,,0.0,,,75.0,0.0,0.0,-25.0,0,18,0.0
2026-04-08,SD@PIT,PIT,False,50.4,6.5,92,-5.7,29,1003.5,66.0,-8.68,-15.65,-34.0,1,18,0.05555555555555555
2026-04-08,KC@CLE,CLE,False,52.1,7.4,159,6.9,27,1004.5,96.0,7.12,15.6,-4.0,1,18,0.05555555555555555
2026-04-08,MIL@BOS,BOS,False,39.9,7.4,83,-5.8,43,1036.1,87.0,-13.0,-27.49,-13.0,0,9,0.0
2026-04-08,BAL@CWS,CWS,False,,,,0.0,,,96.0,0.0,0.0,-4.0,0,17,0.0
